% Eczema / Atopic Dermatitis — synthetic dataset
% Forward-sampled from a 7-node Bayesian Network.
% True structure:
%   GeneticRisk, IrritantProducts  -> BrokenSkinBarrier
%   GeneticRisk, DustMiteExposure, HighSugarDiet -> Th2Dysregulation
%   BrokenSkinBarrier, Th2Dysregulation -> EczemaFlare
% Generated by: scripts/generate-eczema.js
% Instances: 500

@relation eczema

@attribute GeneticRisk        {yes,no}
@attribute IrritantProducts   {yes,no}
@attribute DustMiteExposure   {yes,no}
@attribute HighSugarDiet      {yes,no}
@attribute BrokenSkinBarrier  {yes,no}
@attribute Th2Dysregulation   {yes,no}
@attribute EczemaFlare        {yes,no}

@data
yes,no,no,yes,no,yes,yes
no,no,yes,yes,no,yes,yes
no,yes,yes,no,no,no,no
no,no,yes,no,no,no,no
no,yes,no,yes,no,yes,yes
no,no,yes,yes,no,no,no
no,yes,yes,yes,no,no,no
no,no,no,no,no,yes,no
no,yes,yes,yes,no,no,no
no,no,yes,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
no,no,yes,no,no,no,yes
no,yes,no,yes,no,yes,no
no,yes,no,no,yes,yes,yes
no,yes,yes,no,yes,no,no
no,no,yes,yes,no,no,no
no,yes,yes,no,no,no,no
no,yes,no,yes,no,no,no
yes,yes,yes,no,no,no,no
no,no,no,yes,no,yes,yes
no,yes,no,yes,no,yes,no
no,yes,yes,yes,no,no,yes
no,yes,yes,yes,no,no,no
no,yes,no,yes,no,no,no
no,yes,no,yes,no,no,no
yes,no,no,yes,no,no,no
no,no,yes,yes,no,yes,no
no,yes,yes,no,no,no,no
no,yes,yes,yes,no,no,no
no,yes,no,yes,yes,no,no
no,yes,yes,yes,yes,yes,yes
yes,no,yes,no,no,no,no
yes,no,yes,no,no,no,no
no,yes,yes,yes,no,no,no
no,yes,no,no,yes,no,yes
no,no,yes,yes,yes,yes,no
no,yes,no,yes,no,no,no
no,yes,no,yes,no,no,no
yes,yes,no,no,no,no,no
no,no,no,no,no,no,no
yes,yes,yes,yes,yes,no,no
yes,no,yes,yes,no,yes,no
no,no,no,yes,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,yes
no,yes,yes,yes,no,no,no
no,yes,no,no,no,no,no
no,no,yes,yes,yes,yes,yes
no,yes,yes,yes,no,yes,no
yes,yes,no,yes,yes,yes,yes
no,no,no,yes,no,no,no
no,yes,yes,yes,no,no,no
no,no,no,yes,no,no,no
yes,yes,no,yes,yes,no,no
yes,no,no,yes,yes,yes,yes
no,yes,yes,yes,no,yes,yes
no,yes,no,yes,no,no,no
yes,no,yes,yes,no,yes,yes
no,yes,yes,no,yes,no,no
no,yes,no,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,yes,no,no,no
no,no,yes,yes,no,yes,no
yes,yes,no,yes,yes,yes,yes
no,yes,yes,no,no,no,no
no,yes,no,yes,no,yes,no
no,no,yes,yes,no,yes,no
no,yes,no,no,no,no,no
no,no,no,yes,no,no,no
no,yes,yes,yes,no,no,no
no,no,yes,no,no,no,no
no,yes,yes,no,no,yes,no
no,yes,no,yes,no,yes,no
no,yes,no,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,yes,yes,yes,yes,no
no,yes,no,yes,yes,no,no
no,no,yes,yes,no,yes,no
no,yes,yes,yes,no,no,no
no,yes,yes,yes,yes,no,no
no,yes,yes,no,no,yes,no
yes,yes,yes,no,yes,no,no
no,no,yes,yes,no,yes,no
no,yes,yes,yes,yes,yes,yes
yes,yes,no,yes,yes,no,yes
no,yes,yes,yes,no,yes,no
no,yes,yes,yes,yes,no,no
no,yes,yes,yes,yes,no,no
no,no,no,yes,no,no,no
yes,no,no,yes,no,no,no
no,no,yes,yes,yes,yes,yes
yes,yes,no,yes,yes,yes,yes
no,yes,yes,no,yes,no,no
no,yes,no,no,no,no,yes
yes,yes,yes,no,yes,no,no
yes,no,yes,yes,yes,yes,yes
no,no,no,yes,no,no,no
no,yes,yes,no,no,no,no
no,no,yes,no,yes,no,no
no,yes,no,yes,no,yes,no
no,yes,no,yes,no,no,no
no,no,no,no,no,no,no
yes,no,yes,yes,no,yes,yes
no,no,no,yes,no,no,no
yes,no,yes,yes,yes,yes,yes
no,yes,no,yes,no,no,no
no,no,yes,no,no,no,no
no,yes,yes,yes,no,no,no
no,yes,yes,yes,no,no,no
no,yes,yes,no,no,yes,no
no,yes,yes,no,no,yes,yes
no,yes,no,no,no,yes,no
yes,no,no,no,yes,no,no
no,no,no,yes,no,yes,yes
no,yes,yes,yes,no,yes,no
yes,yes,yes,no,yes,yes,no
no,yes,yes,no,no,no,no
no,no,yes,no,no,no,no
yes,yes,yes,no,no,no,no
no,yes,yes,yes,no,no,no
no,no,no,no,no,no,no
no,yes,yes,no,no,no,no
yes,yes,no,yes,yes,yes,yes
no,yes,no,yes,yes,no,yes
no,no,yes,no,no,no,no
no,yes,yes,yes,no,no,no
no,yes,no,yes,no,no,no
no,no,yes,yes,no,no,no
yes,no,yes,yes,no,yes,no
no,no,yes,yes,no,no,no
no,no,no,yes,no,no,no
no,yes,no,yes,yes,yes,no
yes,no,no,no,yes,no,no
yes,no,yes,yes,yes,yes,yes
yes,no,yes,no,no,yes,no
no,yes,no,yes,yes,no,no
no,yes,yes,yes,no,yes,no
no,no,yes,yes,no,no,no
no,yes,no,yes,no,no,no
yes,yes,no,yes,yes,no,no
no,yes,yes,yes,yes,no,no
no,yes,yes,yes,no,no,no
no,yes,yes,yes,no,no,no
no,no,no,yes,no,no,no
no,no,no,yes,no,no,no
no,no,yes,yes,no,yes,no
yes,no,yes,yes,no,yes,yes
no,no,no,yes,no,no,no
no,yes,yes,yes,no,yes,no
yes,no,no,yes,yes,no,no
no,yes,yes,yes,no,yes,yes
no,yes,no,yes,no,no,no
no,no,yes,yes,no,yes,no
no,no,yes,no,no,no,no
yes,yes,no,yes,yes,no,no
no,no,yes,yes,no,yes,no
no,no,yes,yes,yes,no,yes
no,yes,yes,yes,no,no,no
yes,yes,yes,yes,no,yes,yes
yes,yes,no,yes,no,no,no
no,no,no,yes,no,no,no
yes,yes,yes,yes,yes,yes,yes
no,yes,no,yes,yes,yes,yes
yes,no,yes,yes,no,yes,yes
no,yes,no,yes,no,no,no
no,yes,yes,yes,yes,yes,no
no,yes,no,yes,no,no,no
no,yes,no,yes,yes,no,no
yes,no,yes,yes,yes,no,no
no,no,no,no,no,no,no
no,no,yes,yes,no,no,no
no,no,yes,yes,no,no,no
no,yes,no,yes,yes,no,no
no,yes,no,yes,no,no,no
yes,yes,no,no,yes,yes,yes
no,yes,yes,yes,no,no,no
yes,yes,yes,yes,yes,no,yes
no,no,no,yes,no,no,no
no,no,no,yes,yes,no,no
no,yes,no,no,no,no,yes
no,no,yes,no,no,no,no
no,no,yes,yes,yes,yes,yes
yes,yes,yes,no,yes,no,no
no,no,no,no,no,no,no
no,yes,no,yes,yes,yes,yes
no,yes,no,yes,no,no,no
no,yes,no,no,yes,no,no
yes,yes,no,yes,yes,yes,yes
no,yes,yes,yes,no,no,no
yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,no,yes,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,no,yes,no,no,no
no,no,yes,no,no,no,no
yes,no,yes,yes,yes,yes,no
no,no,no,no,no,no,no
no,no,no,no,no,no,yes
no,yes,no,yes,yes,no,yes
no,yes,no,yes,no,no,no
no,yes,yes,no,no,no,no
yes,no,no,no,yes,no,yes
no,yes,yes,yes,yes,no,no
no,yes,yes,yes,yes,no,yes
no,yes,no,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes,yes
yes,yes,yes,no,no,yes,no
no,yes,no,yes,no,no,no
yes,yes,no,yes,yes,no,no
no,no,no,yes,no,yes,no
no,yes,yes,no,no,no,no
no,no,yes,no,no,no,no
no,yes,yes,yes,no,no,no
no,no,no,yes,no,no,no
no,yes,yes,yes,yes,no,yes
no,yes,yes,yes,yes,yes,no
yes,no,no,yes,no,yes,yes
no,yes,no,no,yes,no,yes
yes,yes,no,no,yes,yes,yes
no,no,no,yes,yes,no,yes
no,no,yes,no,no,no,no
no,yes,yes,yes,no,yes,no
yes,no,yes,yes,no,yes,no
yes,no,yes,yes,no,yes,no
no,no,yes,no,no,no,no
yes,yes,no,no,yes,no,no
no,yes,no,yes,no,yes,no
no,yes,yes,no,no,no,no
no,no,yes,yes,no,yes,no
no,yes,yes,yes,no,no,no
no,yes,yes,yes,no,yes,no
no,no,yes,yes,no,yes,no
no,no,yes,yes,no,no,no
yes,yes,no,yes,yes,no,yes
no,no,yes,yes,no,no,no
no,no,no,no,no,no,no
no,no,no,no,no,no,no
yes,yes,yes,no,yes,yes,yes
yes,yes,yes,no,yes,yes,yes
no,yes,no,yes,yes,no,no
no,yes,yes,yes,no,yes,no
no,yes,no,yes,yes,no,yes
yes,yes,yes,no,yes,yes,yes
no,yes,yes,no,no,no,no
no,yes,yes,yes,no,no,no
no,no,yes,yes,no,no,no
no,no,yes,no,no,no,no
yes,yes,yes,yes,yes,no,yes
no,yes,yes,yes,no,yes,no
no,no,yes,yes,no,no,no
no,yes,yes,yes,no,no,no
no,yes,yes,no,no,no,no
yes,yes,no,no,no,no,no
yes,yes,no,yes,yes,yes,yes
yes,no,yes,no,yes,yes,yes
yes,no,yes,yes,no,yes,no
yes,no,yes,yes,no,no,no
no,no,yes,no,no,no,no
no,no,no,yes,no,no,no
no,yes,no,yes,no,no,no
no,no,yes,yes,no,no,no
no,yes,yes,no,yes,no,no
no,yes,no,yes,no,no,no
no,yes,no,yes,no,yes,no
no,no,yes,yes,no,yes,yes
no,yes,no,yes,no,no,no
no,yes,no,yes,no,no,no
yes,yes,no,no,yes,yes,yes
no,yes,yes,yes,yes,no,yes
no,yes,no,no,yes,no,no
no,yes,no,no,no,no,no
no,yes,yes,yes,no,no,no
yes,no,yes,no,no,no,no
no,no,no,yes,no,no,no
no,no,yes,no,no,no,no
no,yes,no,yes,no,no,no
no,no,no,no,no,no,no
no,yes,yes,yes,no,no,no
no,yes,yes,yes,no,no,no
no,no,yes,no,no,no,no
no,yes,no,no,no,no,no
no,no,no,no,no,no,no
no,yes,yes,yes,no,no,no
no,yes,yes,yes,yes,yes,no
no,no,no,no,no,no,no
yes,yes,no,yes,yes,no,no
no,no,no,no,no,no,no
no,yes,yes,yes,no,no,no
yes,no,yes,yes,no,no,no
no,yes,yes,yes,no,no,no
no,yes,no,yes,no,no,no
no,no,no,yes,no,yes,no
yes,yes,no,no,yes,no,no
no,yes,yes,yes,no,no,no
yes,yes,yes,yes,yes,yes,no
no,yes,no,yes,no,no,no
no,no,no,no,no,no,no
no,no,yes,yes,no,yes,yes
yes,yes,no,yes,yes,yes,yes
no,yes,yes,yes,no,yes,no
yes,yes,no,yes,yes,yes,yes
no,yes,no,no,yes,no,yes
no,yes,no,yes,yes,no,no
no,no,no,no,no,no,no
yes,no,no,no,yes,no,yes
no,yes,no,no,yes,no,no
no,yes,yes,yes,yes,no,yes
no,yes,no,no,yes,no,no
no,no,no,no,no,no,no
no,yes,no,yes,no,no,no
no,yes,yes,yes,no,yes,yes
no,no,no,yes,no,no,no
no,no,yes,yes,no,yes,yes
no,no,no,yes,no,no,no
no,no,yes,yes,no,yes,yes
no,yes,no,yes,no,yes,yes
yes,yes,yes,no,yes,no,yes
no,yes,yes,no,no,no,no
no,yes,yes,yes,yes,no,yes
no,no,no,no,no,no,no
no,no,no,yes,no,yes,no
yes,yes,yes,no,no,no,no
yes,no,yes,yes,yes,yes,yes
yes,yes,yes,yes,no,yes,no
no,yes,no,yes,yes,yes,yes
no,no,no,yes,no,yes,no
no,no,yes,yes,no,yes,no
no,no,no,no,no,yes,yes
yes,yes,no,yes,yes,yes,yes
no,no,no,yes,no,no,no
yes,yes,yes,yes,yes,no,no
no,no,no,yes,no,yes,no
yes,no,no,yes,no,yes,no
no,no,no,no,no,no,no
no,yes,no,yes,no,yes,no
yes,yes,yes,no,yes,yes,yes
no,yes,yes,yes,no,yes,no
yes,no,no,yes,yes,yes,no
no,no,yes,no,no,no,no
no,no,yes,no,no,no,no
no,no,no,yes,no,no,no
no,no,yes,yes,no,yes,no
no,no,no,yes,no,no,no
no,yes,no,yes,no,no,no
no,no,no,yes,yes,no,no
no,yes,yes,yes,no,yes,yes
no,no,no,yes,no,yes,yes
no,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,yes,yes
yes,no,yes,yes,no,yes,no
no,yes,yes,yes,no,yes,no
no,yes,yes,yes,no,no,no
yes,no,yes,no,no,no,no
yes,no,no,yes,no,no,no
no,no,yes,yes,no,yes,yes
no,no,no,yes,no,no,yes
yes,no,no,yes,no,yes,no
no,yes,no,yes,no,no,no
no,yes,no,no,no,no,no
yes,no,yes,no,yes,yes,yes
yes,no,no,no,yes,yes,no
no,no,no,yes,no,no,no
yes,yes,no,no,yes,yes,yes
no,no,no,no,no,no,no
no,no,no,yes,no,no,no
no,yes,no,yes,no,yes,no
no,no,yes,yes,no,no,no
no,yes,yes,yes,no,no,no
no,no,no,yes,no,no,no
no,no,yes,yes,no,no,no
no,no,no,no,no,no,no
no,no,no,yes,no,yes,no
no,no,no,yes,no,no,yes
yes,yes,yes,yes,yes,yes,yes
no,yes,yes,yes,yes,yes,yes
no,yes,no,yes,no,no,no
no,yes,no,yes,no,no,no
yes,yes,no,no,yes,no,yes
no,yes,no,yes,no,no,no
no,no,yes,yes,no,no,no
no,yes,no,no,yes,no,no
no,yes,no,no,no,no,no
no,yes,yes,yes,yes,no,no
yes,yes,yes,no,yes,no,no
no,yes,no,yes,yes,no,yes
no,yes,yes,no,no,no,no
no,yes,no,no,no,no,no
no,no,yes,yes,no,yes,yes
no,no,no,yes,no,no,no
no,yes,no,no,no,no,no
no,no,yes,yes,no,no,no
no,yes,no,no,no,no,no
no,yes,no,yes,no,no,no
no,yes,yes,yes,no,no,no
no,yes,yes,no,no,yes,yes
no,yes,yes,yes,no,no,no
no,no,yes,no,no,yes,no
yes,yes,yes,yes,yes,yes,yes
no,no,no,yes,yes,no,no
no,no,no,yes,no,no,no
yes,no,no,no,no,no,no
no,no,yes,no,no,no,no
no,yes,yes,no,no,no,no
no,yes,no,yes,no,no,no
no,yes,no,yes,yes,no,no
yes,no,yes,no,yes,no,no
no,yes,yes,no,no,no,no
no,no,no,yes,no,yes,yes
no,yes,yes,no,no,no,yes
yes,no,no,yes,yes,yes,yes
no,yes,no,yes,no,yes,no
yes,yes,yes,yes,no,yes,no
no,yes,yes,yes,yes,yes,yes
no,no,no,yes,no,no,no
no,yes,yes,yes,no,no,no
no,yes,yes,no,yes,no,yes
yes,yes,yes,no,yes,yes,yes
no,yes,yes,yes,no,yes,yes
no,yes,yes,yes,no,no,no
no,yes,yes,yes,no,no,no
yes,yes,no,yes,no,no,no
yes,yes,yes,yes,no,yes,yes
no,no,no,yes,no,yes,no
